State,SAIDI_WM,Customers,TotalInterruption,StateSAIDIWithMED
AK,1917.597,188201.0,67450667.861,358.3969684592537
AL,3141.9980000000005,1859001.0,427239600.65000004,229.82214676054505
AR,3077.35,503937.0,126580674.2,251.18352929036766
AZ,1077.0259999999998,2757912.0,203390417.712,73.74797227467737
CA,2179.349,14510587.0,1424862836.994,98.19470687119687
CO,3373.69,2035343.0,259432113.74,127.46358414282015
CT,489.6,341107.0,27055690.4,79.31731216304561
DC,124.0,261044.0,32369456.0,124.0
DE,423.0,395274.1,62340781.6,157.71532108984627
FL,8824.476999999999,9175586.0,846275843.725,92.23125844224009
GA,4046.7369999999996,3921988.0,541425685.799,138.04878694146947
HI,633.0,487001.0,70615133.0,144.99997535939352
IA,9116.896,1394280.0,170046917.342,121.9603790788077
ID,2880.591,640035.0,163201790.99400002,254.98885372518694
IL,4941.1,5472712.0,1005445761.7,183.71983793409922
IN,6890.894,2356189.0,532851593.49500006,226.14976705816048
KS,4348.237000000001,1191409.0,291128896.591,244.35680491837817
KY,17697.58,2553836.0,580852602.34,227.4431883409898
LA,1182.0,683520.0,168748822.0,246.8820546582397
MA,1525.743,2805574.0,1197507239.961,426.83145764859523
MD,923.43,2448167.0,273152119.72,111.57413678070165
ME,57.88,768099.0,12440524.88,16.19651227250654
MI,6986.8189999999995,4545993.0,3568415322.906,784.9583848690485
MN,13329.506,2423907.8,870188172.3635999,359.00217506771503
MO,11814.967,2501031.0,760733679.529,304.168032914826
MS,4155.28,741916.9,132166032.02000001,178.14128781808313
MT,1329.8,474284.0,76478549.2,161.25053596579266
NC,5454.38,4507928.0,1029722675.87,228.424827519428
ND,918.0,270257.0,30585045.0,113.17022315795705
NE,2864.26,713157.0,91156810.74000001,127.82151859969125
NH,633.469,698029.0,132181631.057,189.364096702286
NJ,454.0,1713946.0,284219697.0,165.82768476953183
NM,2054.0,853815.0,127329410.0,149.1299754630687
NV,152.0,1236291.0,81441488.0,65.87566195984603
NY,860.1320000000001,7871404.0,677085287.332,86.0183630940554
OH,6563.134,5158612.0,1120360686.767,217.18258453378544
OK,5505.83,1614446.0,986209788.22,610.8657633764152
OR,3130.789,1796731.0,300339771.753,167.15900808356957
PA,1672.5,5774699.0,800280980.5,138.58401632708475
RI,783.19,485428.0,380182355.32000005,783.19
SC,2131.2299999999996,1975548.0,218814561.743,110.76145036364593
SD,16784.407,287912.0,316667846.93200004,1099.877208772125
TN,5777.710999999999,2576516.8,333119334.54099995,129.29057343658693
TX,11909.29,10662892.0,1938194758.522,181.77008249938197
UT,964.483,1023259.0,194609767.98100004,190.18622653795376
VA,5344.493,3542846.0,1592506268.775,449.4991509015633
VT,13.0,266784.0,1836166.0,6.882594158570229
WA,3816.13,3116293.0,483380522.148,155.1139517843797
WI,3026.2250000000004,2716457.3,388341022.8219999,142.9586332249728
WV,1949.47,995848.0,539894814.74,542.1458041187009
WY,2002.8609999999999,246448.0,91020542.881,369.3296065742063
