,Utility Name,State,SAIDI_WM,Customers,TotalInterruption
0,Adams Electric Coop,IL,223.0,8715.0,1943445.0
1,Adams-Columbia Electric Coop,WI,143.0,36014.0,5150002.0
2,Agralite Electric Coop,MN,1142.0,5122.0,5849324.0
5,City of Alameda,CA,7.0,34347.0,240429.0
9,Alcorn County Elec Power Assn,MS,41.34,19077.0,788643.18
12,Alger-Delta Coop Electric Assn,MI,52.85,9968.0,526808.8
13,"Allamakee-Clayton El Coop, Inc",IA,97.0,8999.0,872903.0
14,Altamaha Electric Member Corp,GA,91.0,24983.0,2273453.0
15,City of Altus - (OK),OK,85.0,9385.0,797725.0
16,City of Ames - (IA),IA,23.0,24665.0,567295.0
17,Amicalola Electric Member Corp,GA,389.0,45430.0,17672270.0
18,City of Anaheim - (CA),CA,53.0,115577.0,6125581.0
19,Anchorage Municipal Light and Power,AK,48.0,30832.0,1479936.0
20,City of Anderson - (IN),IN,246.964,35429.0,8749687.556
21,Connexus Energy,MN,56.772,127553.8,7241484.3336
25,Appalachian Power Co,VA,1106.0,523717.0,579231002.0
26,Appalachian Power Co,WV,702.0,433660.0,304429320.0
27,Arizona Public Service Co,AZ,78.0,1147711.0,89521458.0
29,Atlantic City Electric Co,NJ,161.0,537622.0,86557142.0
31,City of Austin - (MN),MN,5.0,12432.0,62160.0
32,Austin Energy,TX,86.25,432000.0,37260000.0
35,Baldwin County El Member Corp,AL,1.0,68655.0,68655.0
36,Baltimore Gas & Electric Co,MD,84.0,1241126.0,104254584.0
38,Emera Maine,ME,41.38,120089.0,4969282.82
39,City of Bangor - (WI),WI,69.0,1875.0,129375.0
41,Barron Electric Coop,WI,5.0,18030.0,90150.0
42,"Bartlett Electric Coop, Inc",TX,80.0,10799.0,863920.0
44,City of Batavia - (IL),IL,129.0,10866.0,1401714.0
46,"Beltrami Electric Coop, Inc",MN,174.0,20013.0,3482262.0
47,PUD No 1 of Benton County,WA,75.0,48128.0,3609600.0
49,Berkeley Electric Coop Inc,SC,138.0,86126.0,11885388.0
51,Big Horn Rural Electric Co,WY,152.0,3422.0,520144.0
52,Big Sandy Rural Elec Coop Corp,KY,369.0,0.0,0.0
56,Blue Grass Energy Coop Corp,KY,141.0,55046.0,7761486.0
57,Blue Ridge Elec Member Corp - (NC),NC,244.0,73150.0,17848600.0
58,Blue Ridge Electric Coop Inc - (SC),SC,117.27,63643.0,7463414.609999999
62,"Bon Homme Yankton El Assn, Inc",SD,118.0,3307.0,390226.0
63,Bolivar Energy Authority,TN,0.0,11105.0,0.0
64,Boone Electric Coop,MO,484.94,30283.0,14685438.02
65,"Bowie-Cass Electric Coop, Inc",TX,585.0,35427.0,20724795.0
68,Bozrah Light & Power Company,CT,100.0,2663.0,266300.0
71,City of Bristol - (TN),TN,74.6,32907.0,2454862.1999999997
72,Bristol Virginia Utilities,VA,1.379,16173.0,22302.567
73,Brownsville Public Utilities Board,TX,8.0,49600.0,396800.0
78,"Butler Rural El Coop Assn, Inc - (KS)",KS,3.0,7178.0,21534.0
79,Butler Rural Electric Coop Inc - (OH),OH,150.52,11209.0,1687178.6800000002
90,"Carbon Power & Light, Inc",WY,250.0,6269.0,1567250.0
91,Duke Energy Progress - (NC),NC,277.0,1340045.0,371192465.0
92,Duke Energy Progress - (NC),SC,161.0,0.0,0.0
94,Carroll Electric Member Corp - (GA),GA,261.0,49361.0,12883221.0
97,Central Alabama Electric Coop,AL,121.79,40864.0,4976826.5600000005
98,"Central Rural Electric Cooperative, Inc",OK,500.0,19279.0,9639500.0
99,"Central Florida Elec Coop, Inc",FL,213.0,32389.0,6898857.0
100,Central Georgia El Member Corp,GA,165.0,52307.0,8630655.0
101,Central Hudson Gas & Elec Corp,NY,0.105,299591.0,31457.055
102,Central Electric Membership Corp. - (NC),NC,120.0,22000.0,2640000.0
103,Central Lincoln People's Ut Dt,OR,0.9,38500.0,34650.0
105,Central Maine Power Co,ME,11.94,611967.0,7306885.9799999995
106,Central Missouri Elec Coop Inc,MO,2750.872,10470.0,28801629.84
108,AEP Texas Central Company,TX,185.0,803426.0,148633810.0
110,Central Virginia Electric Coop,VA,312.0,35141.0,10963992.0
111,City of Centralia - (WA),WA,62.0,10030.0,621860.0
112,"Chariton Valley Elec Coop, Inc",IA,80.0,6090.0,487200.0
114,City of Chanute,KS,0.0,5712.0,0.0
116,City of Chattanooga - (TN),GA,83.828,0.0,0.0
117,City of Chattanooga - (TN),TN,83.828,173464.0,14541140.192
120,Cherryland Electric Coop Inc,MI,83.0,33912.0,2814696.0
121,Cheyenne Light Fuel & Power Co,WY,32.0,39517.0,1264544.0
122,City of Chicopee - (MA),MA,40.0,25699.0,1027960.0
123,Cimarron Electric Coop,OK,81.7,15086.0,1232526.2
