,Utility Name,State,SAIDI_WOM,Customers,TotalInterruption
0,Adams Electric Coop,IL,158.0,8715.0,1376970.0
1,Adams-Columbia Electric Coop,WI,58.0,36014.0,2088812.0
2,Agralite Electric Coop,MN,141.0,5122.0,722202.0
5,City of Alameda,CA,7.0,34347.0,240429.0
9,Alcorn County Elec Power Assn,MS,0.0,19077.0,0.0
12,Alger-Delta Coop Electric Assn,MI,51.74,9968.0,515744.32
13,"Allamakee-Clayton El Coop, Inc",IA,97.0,8999.0,872903.0
14,Altamaha Electric Member Corp,GA,35.0,24983.0,874405.0
15,City of Altus - (OK),OK,58.0,9385.0,544330.0
16,City of Ames - (IA),IA,23.0,24665.0,567295.0
17,Amicalola Electric Member Corp,GA,333.0,45430.0,15128190.0
18,City of Anaheim - (CA),CA,53.0,115577.0,6125581.0
19,Anchorage Municipal Light and Power,AK,48.0,30832.0,1479936.0
21,Connexus Energy,MN,30.729,127553.8,3919600.7202
25,Appalachian Power Co,VA,331.0,523717.0,173350327.0
26,Appalachian Power Co,WV,596.0,433660.0,258461360.0
27,Arizona Public Service Co,AZ,71.0,1147711.0,81487481.0
28,Entergy Arkansas Inc,AR,253.7,708246.0,179682010.2
29,Atlantic City Electric Co,NJ,135.0,537622.0,72578970.0
32,Austin Energy,TX,46.29,432000.0,19997280.0
33,City of Azusa,CA,54.899,16169.0,887661.931
35,Baldwin County El Member Corp,AL,1.0,68655.0,68655.0
36,Baltimore Gas & Electric Co,MD,84.0,1241126.0,104254584.0
38,Emera Maine,ME,6.68,120089.0,802194.52
41,Barron Electric Coop,WI,2.0,18030.0,36060.0
42,"Bartlett Electric Coop, Inc",TX,25.0,10799.0,269975.0
44,City of Batavia - (IL),IL,20.0,10866.0,217320.0
46,"Beltrami Electric Coop, Inc",MN,138.0,20013.0,2761794.0
47,PUD No 1 of Benton County,WA,33.0,48128.0,1588224.0
49,Berkeley Electric Coop Inc,SC,138.0,86126.0,11885388.0
52,Big Sandy Rural Elec Coop Corp,KY,129.0,0.0,0.0
56,Blue Grass Energy Coop Corp,KY,111.0,55046.0,6110106.0
57,Blue Ridge Elec Member Corp - (NC),NC,73.0,73150.0,5339950.0
58,Blue Ridge Electric Coop Inc - (SC),SC,109.45,63643.0,6965726.350000001
63,Bolivar Energy Authority,TN,164.403,11105.0,1825695.315
64,Boone Electric Coop,MO,54.14,30283.0,1639521.62
65,"Bowie-Cass Electric Coop, Inc",TX,397.0,35427.0,14064519.0
68,Bozrah Light & Power Company,CT,100.0,2663.0,266300.0
71,City of Bristol - (TN),TN,29.2,32907.0,960884.4
72,Bristol Virginia Utilities,VA,0.758,16173.0,12259.134
78,"Butler Rural El Coop Assn, Inc - (KS)",KS,3.0,7178.0,21534.0
